Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend
1001,Web Development,Fiverr,Intermediate,USA,PayPal,127,35000,35.0,98.5,4.8,35,Fixed-Price,85.3,500
1002,Graphic Design,Upwork,Expert,UK,Credit Card,89,42000,40.0,95.2,4.9,42,Hourly,92.1,750
1003,Content Writing,Freelancer,Beginner,Australia,Bank Transfer,45,18000,25.0,88.7,4.2,28,Fixed-Price,78.5,300
1004,Digital Marketing,Fiverr,Expert,Canada,Cryptocurrency,210,55000,45.0,99.1,5.0,45,Hourly,94.8,1000
1005,Mobile App Development,Upwork,Intermediate,Germany,PayPal,115,38000,42.0,96.3,4.7,38,Fixed-Price,88.2,600
1006,SEO,Freelancer,Beginner,France,Credit Card,52,22000,30.0,90.5,4.5,32,Hourly,80.7,350
1007,Video Editing,Fiverr,Expert,USA,Bank Transfer,175,48000,40.0,97.8,4.9,40,Fixed-Price,91.5,800
1008,Web Development,Upwork,Expert,UK,Cryptocurrency,193,52000,50.0,98.2,4.8,48,Hourly,93.7,950
1009,Graphic Design,Freelancer,Intermediate,Australia,PayPal,98,32000,38.0,94.5,4.6,36,Fixed-Price,86.9,550
1010,Content Writing,Fiverr,Beginner,Canada,Credit Card,40,16000,22.0,87.3,4.1,26,Hourly,76.2,250
1011,Digital Marketing,Upwork,Expert,Germany,Bank Transfer,188,51000,48.0,98.7,4.9,44,Fixed-Price,93.1,900
1012,Mobile App Development,Freelancer,Intermediate,France,Cryptocurrency,121,40000,44.0,96.9,4.8,40,Hourly,89.5,650
1013,SEO,Fiverr,Beginner,USA,PayPal,49,20000,28.0,89.2,4.3,30,Fixed-Price,79.8,320
1014,Video Editing,Upwork,Expert,UK,Credit Card,168,46000,38.0,97.5,4.8,38,Hourly,90.9,780
1015,Web Development,Freelancer,Intermediate,Australia,Bank Transfer,105,36000,36.0,95.8,4.7,36,Fixed-Price,87.6,580
1016,Graphic Design,Fiverr,Expert,Canada,Cryptocurrency,182,49000,42.0,98.0,4.9,42,Hourly,92.8,850
1017,Content Writing,Upwork,Beginner,Germany,PayPal,43,17000,24.0,88.1,4.2,27,Fixed-Price,77.4,280
